rank,title,original_title,year,rating,vote_count,director,genres,mood_tags,imdb_id
92,黑客帝国,The Matrix,1999,8.236,27045,拉娜·沃卓斯基,动作|科幻,非常hope|值得一看|情感真挚,tt0133093
93,克劳斯：圣诞节的秘密,Klaus,2019,8.231,4406,塞尔吉奥·巴勃罗斯,动画|家庭|冒险|喜剧|奇幻,值得推荐|非常joy|情感丰富,tt4729430
94,泰勒·斯威夫特：“举世盛名”巡回演唱会,Taylor Swift: Reputation Stadium Tour,2018,8.224,415,保罗·达格代尔,音乐,非常sadness|非常joy|非常hope,tt9426852
95,五尺天涯,Five Feet Apart,2019,8.226,5812,贾斯汀·贝尔杜尼,爱情|剧情,值得推荐|非常love|情感丰富,tt6472976
96,从天而降,Como caído del cielo,2019,8.225,364,Pepe Bojórquez,喜剧|剧情|音乐,非常joy|非常sadness,tt10946934
97,绿皮书,Green Book,2018,8.2,12396,彼得·法雷利,剧情|喜剧|历史,引人深思|非常tension|情感强烈,tt6966692
98,自己去看,Иди и смотри,1985,8.2,1701,Элем Климов,剧情|战争,非常fear|紧张刺激,tt0091251
99,拯救大兵瑞恩,Saving Private Ryan,1998,8.221,16673,史蒂文·斯皮尔伯格,战争|剧情|历史,非常anger|值得一看|情感真挚,tt0120815
100,角斗士,Gladiator,2000,8.2,20253,雷德利·斯科特,动作|剧情|冒险,非常peace|非常joy|心灵平静,tt0172495
101,安逸人生,Il sorpasso,1962,8.22,813,迪诺·里西,剧情|喜剧|冒险,非常joy|非常sadness,tt0056512
102,狼的孩子雨和雪,おおかみこどもの雨と雪,2012,8.217,2397,细田守,动画|家庭|剧情|奇幻,值得推荐|非常joy|情感丰富,tt2140203
103,妈咪,Mommy,2014,8.2,2790,泽维尔·多兰,剧情,非常hope|非常joy,tt3612616
104,迈克尔·杰克逊：颤栗,Michael Jackson's Thriller,1983,8.2,726,约翰·兰迪斯,恐怖|惊悚|音乐,非常fear|紧张刺激,tt0088263
105,男孩、鼹鼠、狐狸和马,"The Boy, the Mole, the Fox and the Horse",2022,8.217,672,Charlie Mackesy,动画|家庭|冒险|奇幻,非常anger|非常hope,tt22667880
106,无耻混蛋,Inglourious Basterds,2009,8.214,23448,昆汀·塔伦蒂诺,剧情|惊悚|战争,非常tension|非常fear|紧张刺激,tt0361748
107,黑暗正义联盟：天启星战争,Justice League Dark: Apokolips War,2020,8.212,1524,Matt Peters,动画|动作|冒险|奇幻,非常hope|值得一看|情感真挚,tt11079148
108,控方证人,Witness for the Prosecution,1957,8.212,1575,比利·怀尔德,剧情|悬疑|犯罪,非常anger|非常tension|非常sadness,tt0051201
109,鬼灭之刃剧场版：无限列车篇,劇場版「鬼滅の刃」無限列車編,2020,8.21,4322,外崎春雄,动画|动作|奇幻,非常anger|值得一看|情感真挚,tt11032374
110,穿靴子的猫2,Puss in Boots: The Last Wish,2022,8.21,8504,乔尔·克劳福德,动画|冒险|奇幻|喜剧|家庭,非常fear|紧张刺激,tt3915174
111,K-POP：猎魔女团,KPop Demon Hunters,2025,8.206,1976,Chris Appelhans,奇幻|音乐|喜剧|动画,值得推荐|非常joy|情感丰富,tt14205554
112,闪灵,The Shining,1980,8.207,18367,斯坦利·库布里克,恐怖|惊悚,非常loneliness|非常joy|非常fear,tt0081505
113,致命魔术,The Prestige,2006,8.205,16985,克里斯托弗·诺兰,剧情|悬疑|科幻,非常anger|值得一看|情感真挚,tt0482571
114,福音战士新剧场版：终,シン・エヴァンゲリオン劇場版:||,2021,8.2,889,鹤卷和哉,动画|动作|科幻|剧情,非常sadness|非常joy|非常hope,tt2458948
115,相助,The Help,2011,8.204,8758,塔特·泰勒,剧情,非常anger|值得一看|情感真挚,tt1454029
116,星球大战4：新希望,Star Wars,1977,8.204,21687,乔治·卢卡斯,冒险|动作|科幻,非常hope|非常joy|非常tension,tt0076759
117,狼行者,Wolfwalkers,2020,8.202,1309,Tomm Moore,动画|家庭|冒险|奇幻,心灵平静|非常joy|非常peace,tt5198068
118,禁闭岛,Shutter Island,2010,8.202,25099,马丁·斯科塞斯,剧情|惊悚|悬疑,引人深思|非常tension|情感强烈,tt1130884
119,寻梦环游记,Coco,2017,8.201,20454,李·昂克里奇,家庭|动画|音乐|冒险,值得推荐|非常joy|情感丰富,tt2380307
120,砂之女,砂の女,1964,8.2,496,敕使河原宏,剧情|惊悚,非常tension|非常sadness,tt0058625
121,桃色公寓,The Apartment,1960,8.199,2510,比利·怀尔德,喜剧|剧情|爱情,值得推荐|非常love|情感丰富,tt0053604
122,小姐,아가씨,2016,8.2,4102,朴赞郁,惊悚|剧情|爱情,非常joy|非常love|温暖治愈,tt4016934
123,神秘博士：博士之日,Doctor Who: The Day of the Doctor,2013,8.2,762,Nick Hurran,科幻|冒险,非常hope|非常joy,tt2779318
124,奥特曼：崛起,Ultraman: Rising,2024,8.2,354,Shannon Tindle,动画|科幻|家庭|动作,值得推荐|非常joy|情感丰富,tt9471678
125,血战钢锯岭,Hacksaw Ridge,2016,8.192,14434,梅尔·吉布森,剧情|历史|战争,紧张刺激|非常fear|非常sadness,tt2119532
126,泰勒·斯威夫特：时代巡回演唱会,TAYLOR SWIFT | THE ERAS TOUR,2023,8.2,484,萨姆·伦奇,音乐,非常sadness|非常joy|非常hope,tt28814949
127,被解救的姜戈,Django Unchained,2012,8.185,27285,昆汀·塔伦蒂诺,剧情|西部,引人深思|情感强烈|非常sadness,tt1853728
128,我在雨中等你,The Art of Racing in the Rain,2019,8.183,1607,西蒙·柯蒂斯,剧情|爱情,值得推荐|非常joy|情感丰富,tt1478839
129,我的母亲有话说,Minha Mãe é uma Peça 3: O Filme,2019,8.2,489,Susana Garcia,喜剧,值得推荐|非常joy|情感丰富,tt10611372
130,发条橙,A Clockwork Orange,1971,8.181,13467,斯坦利·库布里克,科幻|犯罪,非常joy|非常tension,tt0066921
131,记忆碎片,Memento,2000,8.178,15698,克里斯托弗·诺兰,悬疑|惊悚,非常tension|非常sadness,tt0209144
132,偷自行车的人,Ladri di biciclette,1948,8.2,2553,维托里奥·德西卡,剧情,引人深思|情感强烈|非常sadness,tt0040522
133,非常嫌疑犯,The Usual Suspects,1995,8.173,10984,布莱恩·辛格,剧情|犯罪|惊悚,非常anger|非常tension|非常sadness,tt0114814
134,朝花夕誓,さよならの朝に約束の花をかざろう,2018,8.166,680,冈田麿里,动画|奇幻|剧情|冒险,非常anger|非常joy,tt7339826
135,异形,Alien,1979,8.167,15777,雷德利·斯科特,恐怖|科幻,非常hope|非常fear|紧张刺激,tt0078748
136,宇宙小子大电影,Steven Universe: The Movie,2019,8.2,834,瑞贝卡·舒格,电视电影|冒险|动画|奇幻|音乐|科幻,非常peace|心灵平静,tt10515852
137,第七封印,Det sjunde inseglet,1957,8.2,3215,英格玛·伯格曼,奇幻|剧情,引人深思|情感强烈|非常sadness,tt0050976
138,Top Gun: Maverick,Top Gun: Maverick,2022,8.163,10371,约瑟夫·科辛斯基,动作|剧情,非常fear|紧张刺激,tt1745960
139,对一个不容怀疑的公民的调查,Indagine su un cittadino al di sopra di ogni sospetto,1970,8.2,845,Elio Petri,剧情|惊悚,非常tension|非常sadness,tt0065889
140,无知的声音,Voces inocentes,2005,8.2,508,Luis Mandoki,剧情|战争,非常fear|紧张刺激,tt0387914
141,东京物语,東京物語,1953,8.2,1160,小津安二郎,剧情,非常hope|非常joy|心灵平静,tt0046438
142,无间道风云,The Departed,2006,8.159,15687,马丁·斯科塞斯,剧情|惊悚|犯罪,非常tension|非常fear|紧张刺激,tt0407887
143,熔炉,도가니,2011,8.158,725,黄东赫,剧情,值得推荐|非常joy|情感丰富,tt2070649
144,疤面煞星,Scarface,1983,8.158,12583,布莱恩·德·帕尔玛,动作|犯罪|剧情,温暖治愈|非常joy|非常love,tt0086250
145,心灵捕手,Good Will Hunting,1997,8.157,13282,格斯·范桑特,剧情,非常fear|紧张刺激,tt0119217
146,迷魂记,Vertigo,1958,8.155,6108,阿尔弗雷德·希区柯克,悬疑|爱情|惊悚,非常love|非常fear|紧张刺激,tt0052357
147,鹬,Piper,2016,8.15,1690,Alan Barillaro,家庭|动画,非常tension|非常fear|紧张刺激,tt5613056
148,楚门的世界,The Truman Show,1998,8.149,19511,彼得·威尔,喜剧|剧情,非常joy|非常sadness,tt0120382
149,卡萨布兰卡,Casablanca,1943,8.1,5806,迈克尔·柯蒂斯,剧情|爱情,值得推荐|非常love|情感丰富,tt0034583
150,20世纪少女,20세기 소녀,2022,8.148,775,方宥力,爱情|剧情,非常love|非常sadness,tt15340724
151,寻子遇仙记,The Kid,1921,8.1,2267,查理·卓别林,喜剧|剧情,非常hope|非常loneliness,tt0012349
152,我的英雄学院：英雄崛起,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,2019,8.1,1236,长崎健司,动画|动作|奇幻|冒险,非常joy|非常tension,tt11107074
153,何以为家,کفرناحوم,2018,8.144,1878,娜丁·拉巴基,剧情,非常anger|值得一看|情感真挚,tt8267604
154,多哥,Togo,2019,8.142,2152,埃里克森·科里,冒险|家庭,值得推荐|非常joy|情感丰富,tt5116302
155,雨中曲,Singin' in the Rain,1952,8.1,3356,斯坦利·多南,喜剧|爱情,非常joy|非常love|温暖治愈,tt0045152
156,假面,Persona,1966,8.1,2331,英格玛·伯格曼,剧情,非常hope|值得一看|情感真挚,tt0060827
157,Palmer,Palmer,2021,8.1,1829,费舍尔·史蒂文斯,剧情,非常fear|紧张刺激,tt6857376
158,中央车站,Central do Brasil,1998,8.137,1002,沃尔特·塞勒斯,剧情,值得一看|非常loneliness|情感真挚,tt0140888
159,终结者2：审判日,Terminator 2: Judgment Day,1991,8.135,13724,詹姆斯·卡梅隆,动作|惊悚|科幻,值得推荐|非常love|情感丰富,tt0103064
160,沙丘2,Dune: Part Two,2024,8.133,7240,丹尼斯·维伦纽瓦,科幻|冒险,非常anger|非常love,tt15239678
161,我的朋友们,Amici miei,1975,8.132,726,Mario Monicelli,喜剧,值得推荐|非常joy|情感丰富,tt0072637
162,黑帮悍将,Bound by Honor,1993,8.132,1463,泰勒·哈克福德,犯罪|动作|剧情|惊悚,非常anger|值得一看|情感真挚,tt0106469
163,出租车司机,Taxi Driver,1976,8.132,13000,马丁·斯科塞斯,犯罪|剧情,非常anger|非常sadness,tt0075314
164,少年的你,少年的你,2019,8.1,517,曾国祥,剧情|犯罪|爱情,引人深思|非常tension|情感强烈,tt9586294
165,小丑,Joker,2019,8.131,27021,托德·菲利普斯,犯罪|惊悚|剧情,非常hope|非常joy|非常tension,tt7286456
166,剧场版 黑色四叶草 魔法帝之剑,映画 ブラッククローバー 魔法帝の剣,2023,8.128,336,种村绫隆,动画|奇幻|动作|冒险,非常joy|非常tension,tt22868844
167,奇爱博士,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.125,5947,斯坦利·库布里克,喜剧|战争,非常joy|非常fear|紧张刺激,tt0057012
168,全金属外壳,Full Metal Jacket,1987,8.124,11092,斯坦利·库布里克,剧情|战争,引人深思|非常tension|情感强烈,tt0093058
169,姥姥的外孙,หลานม่า,2024,8.123,321,帕特·波尼蒂帕特,剧情,有些sadness|非常joy,tt31392609
170,猫猫的奇幻漂流,Straume,2024,8.124,2463,金兹·兹巴洛迪斯,动画|冒险|奇幻|家庭,值得推荐|非常joy|情感丰富,tt4772188
171,咒术回战 0 剧场版,劇場版 呪術廻戦 0,2021,8.122,1583,朴性厚,动画|动作|奇幻,非常anger|值得一看|情感真挚,tt14331144
172,八部半,8½,1963,8.1,2443,费德里科·费里尼,剧情,非常love|非常sadness,tt0056801
173,白蛇2：青蛇劫起,白蛇2：青蛇劫起,2021,8.118,344,黄家康,动画|奇幻|动作|冒险,非常joy|非常tension,tt15000314
174,紫罗兰永恒花园外传：永远与自动手记人偶,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,2019,8.107,424,藤田春香,剧情|奇幻|动画,非常joy|非常sadness,tt10477558
175,落水狗,Reservoir Dogs,1992,8.118,14975,昆汀·塔伦蒂诺,犯罪|惊悚,非常anger|非常tension,tt0105236
176,"“I Corti” di Aldo, Giovanni e Giacomo","“I Corti” di Aldo, Giovanni e Giacomo",1996,8.1,355,Arturo Brachetti,喜剧,值得推荐|非常joy|情感丰富,tt3444066
177,奇迹男孩,Wonder,2017,8.112,8103,斯蒂芬·乔博斯基,家庭|剧情,非常peace|心灵平静,tt2543472
178,红胡子,赤ひげ,1965,8.115,388,黑泽明,剧情,值得推荐|非常joy|情感丰富,tt0058888
179,潜行者,Сталкер,1979,8.112,2386,安德烈·塔可夫斯基,科幻|剧情,非常hope|值得一看|情感真挚,tt0079944
180,燃烧女子的肖像,Portrait de la jeune fille en feu,2019,8.1,2807,瑟琳·席安玛,剧情|爱情|历史,心灵平静|非常joy|非常peace,tt8613070
181,心灵奇旅,Soul,2020,8.104,11037,皮特·多克特,动画|家庭|喜剧|奇幻|剧情,非常hope|值得一看|情感真挚,tt2948372
182,机器人总动员,WALL·E,2008,8.104,19683,安德鲁·斯坦顿,动画|家庭|科幻,值得一看|非常loneliness|情感真挚,tt0910970
183,两杆大烟枪,"Lock, Stock and Two Smoking Barrels",1998,8.104,6946,盖·里奇,喜剧|犯罪,非常anger|值得一看|情感真挚,tt0120735
184,扎克·施奈德版正义联盟,Zack Snyder's Justice League,2021,8.103,10501,扎克·施奈德,动作|冒险|奇幻,非常tension|非常joy,tt12361974
185,焦土之城,Incendies,2010,8.102,3075,丹尼斯·维伦纽瓦,剧情|战争|悬疑,引人深思|非常tension|情感强烈,tt1255953
186,双重赔偿,Double Indemnity,1944,8.103,1933,比利·怀尔德,犯罪|惊悚,非常anger|非常love,tt0036775
187,请以你的名字呼唤我,Call Me by Your Name,2017,8.1,12500,卢卡·瓜达尼诺,爱情|剧情,非常hope|非常love,tt5726616
188,大都会,Metropolis,1927,8.1,2969,弗里德里希·朗,剧情|科幻,引人深思|非常tension|情感强烈,tt0017136
189,囚徒,Prisoners,2013,8.1,12589,丹尼斯·维伦纽瓦,剧情|惊悚|犯罪,引人深思|非常tension|情感强烈,tt1392214
190,奇迹少女：纽约篇,"Miraculous World : New York, les héros unis",2020,8.1,1118,托马斯·阿斯特鲁克,动画|电视电影|奇幻|动作,值得推荐|非常love|情感丰富,tt12816348
191,还有明天,C'è ancora domani,2023,8.097,1455,保拉·科泰莱西,剧情|喜剧|历史,非常joy|非常sadness,tt21800162
192,困在时间里的父亲,The Father,2020,8.097,3464,弗洛里安·泽勒,剧情,值得推荐|非常joy|情感丰富,tt10272386
193,街角的商店,The Shop Around the Corner,1940,8.1,785,恩斯特·刘别谦,喜剧|剧情|爱情,非常joy|非常love|温暖治愈,tt0033045
